date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,units_sold_ma7,lag_1,revenue,month
2022-01-06,P001,Clothes,4,4,799,0,Cloudy,Winter,Low,No,No,4.0,,3196,2022-01
2022-01-09,P001,Clothes,5,6,799,0,Cold,Winter,Medium,No,Yes,4.5,4.0,3995,2022-01
2022-01-10,P001,Clothes,3,3,799,0,Sunny,Winter,Low,No,No,4.0,5.0,2397,2022-01
2022-01-14,P001,Clothes,6,7,799,0,Cold,Winter,Medium,No,Yes,4.5,3.0,4794,2022-01
2022-01-17,P001,Clothes,8,10,799,0,Sunny,Winter,Medium,No,No,5.2,6.0,6392,2022-01
2022-01-18,P001,Clothes,9,12,799,0,Sunny,Winter,Medium,No,No,5.833333333333333,8.0,7191,2022-01
2022-02-07,P001,Clothes,5,6,799,0,Cold,Winter,Medium,No,No,5.714285714285714,9.0,3995,2022-02
2022-02-08,P001,Clothes,6,7,799,0,Cold,Winter,Medium,No,No,6.0,5.0,4794,2022-02
2022-02-10,P001,Clothes,4,6,799,0,Cold,Winter,Low,No,No,5.857142857142857,6.0,3196,2022-02
2022-02-12,P001,Clothes,9,10,799,0,Sunny,Winter,Medium,No,Yes,6.714285714285714,4.0,7191,2022-02
2022-02-22,P001,Clothes,8,10,799,5,Sunny,Winter,Medium,Yes,No,7.0,9.0,6392,2022-02
2022-02-22,P001,Clothes,4,4,799,0,Sunny,Winter,Low,No,No,6.428571428571429,8.0,3196,2022-02
2022-03-03,P001,Clothes,11,14,799,20,Hot,Summer,High,Yes,No,6.714285714285714,4.0,8789,2022-03
2022-03-09,P001,Clothes,8,9,799,0,Hot,Summer,Medium,No,No,7.142857142857143,11.0,6392,2022-03
2022-03-11,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,No,7.0,8.0,3995,2022-03
2022-03-13,P001,Clothes,2,3,799,0,Hot,Summer,Low,No,Yes,6.714285714285714,5.0,1598,2022-03
2022-03-14,P001,Clothes,5,7,799,0,Hot,Summer,Medium,No,No,6.142857142857143,2.0,3995,2022-03
2022-03-15,P001,Clothes,5,5,799,0,Humid,Summer,Medium,No,No,5.714285714285714,5.0,3995,2022-03
2022-03-17,P001,Clothes,1,2,799,0,Sunny,Summer,Low,No,No,5.285714285714286,5.0,799,2022-03
2022-03-19,P001,Clothes,8,9,799,0,Sunny,Summer,Medium,No,Yes,4.857142857142857,1.0,6392,2022-03
2022-04-01,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,No,4.0,8.0,1598,2022-04
2022-04-01,P001,Clothes,7,9,799,25,Sunny,Summer,Medium,Yes,No,4.285714285714286,2.0,5593,2022-04
2022-04-03,P001,Clothes,9,10,799,0,Sunny,Summer,Medium,No,Yes,5.285714285714286,7.0,7191,2022-04
2022-04-04,P001,Clothes,8,9,799,0,Humid,Summer,Medium,No,No,5.714285714285714,9.0,6392,2022-04
2022-04-06,P001,Clothes,9,11,799,15,Sunny,Summer,Medium,Yes,No,6.285714285714286,8.0,7191,2022-04
2022-04-06,P001,Clothes,3,3,799,0,Sunny,Summer,Low,No,No,6.571428571428571,9.0,2397,2022-04
2022-04-12,P001,Clothes,4,6,799,0,Humid,Summer,Low,No,No,6.0,3.0,3196,2022-04
2022-04-14,P001,Clothes,4,4,799,0,Hot,Summer,Low,No,No,6.285714285714286,4.0,3196,2022-04
2022-04-17,P001,Clothes,9,11,799,0,Hot,Summer,Medium,No,Yes,6.571428571428571,4.0,7191,2022-04
2022-04-18,P001,Clothes,11,11,799,10,Sunny,Summer,High,Yes,No,6.857142857142857,9.0,8789,2022-04
2022-04-20,P001,Clothes,6,9,799,0,Humid,Summer,Medium,No,No,6.571428571428571,11.0,4794,2022-04
2022-04-21,P001,Clothes,3,3,799,0,Humid,Summer,Low,No,No,5.714285714285714,6.0,2397,2022-04
2022-04-22,P001,Clothes,3,6,799,0,Sunny,Summer,Low,No,No,5.714285714285714,3.0,2397,2022-04
2022-04-24,P001,Clothes,11,11,799,15,Sunny,Summer,High,Yes,Yes,6.714285714285714,3.0,8789,2022-04
2022-04-28,P001,Clothes,6,6,799,0,Hot,Summer,Medium,No,No,7.0,11.0,4794,2022-04
2022-05-12,P001,Clothes,13,15,799,0,Humid,Summer,High,No,No,7.571428571428571,6.0,10387,2022-05
2022-05-14,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,Yes,6.285714285714286,13.0,1598,2022-05
2022-05-24,P001,Clothes,10,12,799,5,Sunny,Summer,High,Yes,No,6.857142857142857,2.0,7990,2022-05
2022-05-27,P001,Clothes,4,4,799,0,Sunny,Summer,Low,No,No,7.0,10.0,3196,2022-05
2022-05-27,P001,Clothes,1,4,799,0,Sunny,Summer,Low,No,No,6.714285714285714,4.0,799,2022-05
2022-05-27,P001,Clothes,8,11,799,15,Sunny,Summer,Medium,Yes,No,6.285714285714286,1.0,6392,2022-05
2022-05-28,P001,Clothes,5,5,799,0,Sunny,Summer,Medium,No,Yes,6.142857142857143,8.0,3995,2022-05
2022-05-28,P001,Clothes,7,10,799,5,Sunny,Summer,Medium,Yes,Yes,5.285714285714286,5.0,5593,2022-05
2022-06-01,P001,Clothes,5,5,799,0,Rainy,Monsoon,Medium,No,No,5.714285714285714,7.0,3995,2022-06
2022-06-11,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,Yes,5.285714285714286,5.0,5593,2022-06
2022-06-12,P001,Clothes,10,13,799,25,Rainy,Monsoon,High,Yes,Yes,6.142857142857143,7.0,7990,2022-06
2022-06-12,P001,Clothes,7,7,799,20,Rainy,Monsoon,Medium,Yes,Yes,7.0,10.0,5593,2022-06
2022-06-13,P001,Clothes,6,6,799,25,Rainy,Monsoon,Medium,Yes,No,6.714285714285714,7.0,4794,2022-06
2022-06-14,P001,Clothes,5,7,799,0,Cloudy,Monsoon,Medium,No,No,6.714285714285714,6.0,3995,2022-06
2022-06-14,P001,Clothes,4,7,799,0,Cloudy,Monsoon,Low,No,No,6.285714285714286,5.0,3196,2022-06
2022-06-16,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,No,6.571428571428571,4.0,5593,2022-06
2022-06-17,P001,Clothes,1,1,799,0,Rainy,Monsoon,Low,No,No,5.714285714285714,7.0,799,2022-06
2022-06-18,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,Yes,5.285714285714286,1.0,5593,2022-06
2022-06-20,P001,Clothes,2,3,799,0,Rainy,Monsoon,Low,No,No,4.571428571428571,7.0,1598,2022-06
2022-06-20,P001,Clothes,9,10,799,20,Rainy,Monsoon,Medium,Yes,No,5.0,2.0,7191,2022-06
2022-06-24,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,No,5.285714285714286,9.0,5593,2022-06
2022-06-25,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,Yes,5.714285714285714,7.0,5593,2022-06
2022-06-26,P001,Clothes,5,8,799,0,Rainy,Monsoon,Medium,No,Yes,5.428571428571429,7.0,3995,2022-06
2022-06-26,P001,Clothes,5,6,799,25,Rainy,Monsoon,Medium,Yes,Yes,6.0,5.0,3995,2022-06
2022-06-28,P001,Clothes,3,6,799,0,Rainy,Monsoon,Low,No,No,5.428571428571429,5.0,2397,2022-06
2022-06-30,P001,Clothes,1,2,799,0,Rainy,Monsoon,Low,No,No,5.285714285714286,3.0,799,2022-06
2022-07-03,P001,Clothes,8,10,799,0,Rainy,Monsoon,Medium,No,Yes,5.142857142857143,1.0,6392,2022-07
2022-07-07,P001,Clothes,7,10,799,10,Humid,Monsoon,Medium,Yes,No,5.142857142857143,8.0,5593,2022-07
2022-07-07,P001,Clothes,7,8,799,0,Humid,Monsoon,Medium,No,No,5.142857142857143,7.0,5593,2022-07
2022-07-09,P001,Clothes,10,12,799,25,Rainy,Monsoon,High,Yes,Yes,5.857142857142857,7.0,7990,2022-07
2022-07-09,P001,Clothes,7,8,799,0,Rainy,Monsoon,Medium,No,Yes,6.142857142857143,10.0,5593,2022-07
2022-07-18,P001,Clothes,8,11,799,0,Humid,Monsoon,Medium,No,No,6.857142857142857,7.0,6392,2022-07
2022-07-19,P001,Clothes,6,8,799,0,Rainy,Monsoon,Medium,No,No,7.571428571428571,8.0,4794,2022-07
2022-07-26,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,No,7.142857142857143,6.0,3995,2022-07
2022-08-01,P001,Clothes,11,14,799,15,Humid,Monsoon,High,Yes,No,7.714285714285714,5.0,8789,2022-08
2022-08-02,P001,Clothes,2,2,799,0,Humid,Monsoon,Low,No,No,7.0,11.0,1598,2022-08
2022-08-03,P001,Clothes,6,9,799,0,Humid,Monsoon,Medium,No,No,6.428571428571429,2.0,4794,2022-08
2022-08-06,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,Yes,6.142857142857143,6.0,3995,2022-08
2022-08-09,P001,Clothes,4,6,799,0,Cloudy,Monsoon,Low,No,No,5.571428571428571,5.0,3196,2022-08
2022-08-09,P001,Clothes,6,7,799,0,Cloudy,Monsoon,Medium,No,No,5.571428571428571,4.0,4794,2022-08
2022-08-11,P001,Clothes,5,7,799,0,Rainy,Monsoon,Medium,No,No,5.571428571428571,6.0,3995,2022-08
2022-08-12,P001,Clothes,5,7,799,0,Humid,Monsoon,Medium,No,No,4.714285714285714,5.0,3995,2022-08
2022-08-14,P001,Clothes,6,9,799,15,Rainy,Monsoon,Medium,Yes,Yes,5.285714285714286,5.0,4794,2022-08
2022-08-16,P001,Clothes,5,7,799,0,Humid,Monsoon,Medium,No,No,5.142857142857143,6.0,3995,2022-08
2022-08-22,P001,Clothes,4,7,799,0,Rainy,Monsoon,Low,No,No,5.0,5.0,3196,2022-08
2022-08-24,P001,Clothes,3,3,799,0,Humid,Monsoon,Low,No,No,4.857142857142857,4.0,2397,2022-08
2022-08-26,P001,Clothes,5,8,799,0,Humid,Monsoon,Medium,No,No,4.714285714285714,3.0,3995,2022-08
2022-08-30,P001,Clothes,2,5,799,0,Humid,Monsoon,Low,No,No,4.285714285714286,5.0,1598,2022-08
2022-09-05,P001,Clothes,7,9,799,0,Rainy,Monsoon,Medium,No,No,4.571428571428571,2.0,5593,2022-09
2022-09-10,P001,Clothes,8,8,799,0,Cloudy,Monsoon,Medium,No,Yes,4.857142857142857,7.0,6392,2022-09
2022-09-16,P001,Clothes,5,5,799,0,Rainy,Monsoon,Medium,No,No,4.857142857142857,8.0,3995,2022-09
2022-09-21,P001,Clothes,7,8,799,0,Humid,Monsoon,Medium,No,No,5.285714285714286,5.0,5593,2022-09
2022-09-21,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,No,5.857142857142857,7.0,5593,2022-09
2022-09-22,P001,Clothes,4,4,799,0,Rainy,Monsoon,Low,No,No,5.714285714285714,7.0,3196,2022-09
2022-09-25,P001,Clothes,3,4,799,0,Humid,Monsoon,Low,No,Yes,5.857142857142857,4.0,2397,2022-09
2022-09-25,P001,Clothes,8,11,799,0,Humid,Monsoon,Medium,No,Yes,6.0,3.0,6392,2022-09
2022-09-28,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,No,5.571428571428571,8.0,3995,2022-09
2022-09-30,P001,Clothes,2,2,799,0,Rainy,Monsoon,Low,No,No,5.142857142857143,5.0,1598,2022-09
2022-10-01,P001,Clothes,1,3,799,0,Sunny,Autumn,Low,No,Yes,4.285714285714286,2.0,799,2022-10
2022-10-01,P001,Clothes,4,4,799,0,Sunny,Autumn,Low,No,Yes,3.857142857142857,1.0,3196,2022-10
2022-10-02,P001,Clothes,11,11,799,0,Pleasant,Autumn,High,No,Yes,4.857142857142857,4.0,8789,2022-10
2022-10-03,P001,Clothes,5,6,799,0,Sunny,Autumn,Medium,No,No,5.142857142857143,11.0,3995,2022-10
2022-10-04,P001,Clothes,4,4,799,0,Pleasant,Autumn,Low,No,No,4.571428571428571,5.0,3196,2022-10
2022-10-08,P001,Clothes,8,10,799,20,Cloudy,Autumn,Medium,Yes,Yes,5.0,4.0,6392,2022-10
2022-10-14,P001,Clothes,4,5,799,0,Sunny,Autumn,Low,No,No,5.285714285714286,8.0,3196,2022-10
2022-10-15,P001,Clothes,3,4,799,0,Sunny,Autumn,Low,No,Yes,5.571428571428571,4.0,2397,2022-10
2022-10-19,P001,Clothes,12,13,799,0,Pleasant,Autumn,High,No,No,6.714285714285714,3.0,9588,2022-10
2022-10-21,P001,Clothes,4,4,799,0,Pleasant,Autumn,Low,No,No,5.714285714285714,12.0,3196,2022-10
2022-10-22,P001,Clothes,8,11,799,0,Sunny,Autumn,Medium,No,Yes,6.142857142857143,4.0,6392,2022-10
2022-10-24,P001,Clothes,24,27,799,5,Pleasant,Autumn,High,Yes,Yes,9.0,8.0,19176,2022-10
2022-10-25,P001,Clothes,6,8,799,0,Pleasant,Autumn,Medium,No,No,8.714285714285714,24.0,4794,2022-10
