date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,revenue,revenue_ma7,lag_1,promotion_flag,holiday_flag,month
2022-01-06,P001,Clothes,4,4,799,0,Cloudy,Winter,Low,No,No,3196.0,3196.0,,0,0,2022-01
2022-01-09,P001,Clothes,5,6,799,0,Cold,Winter,Medium,No,Yes,3995.0,3595.5,3196.0,0,1,2022-01
2022-01-10,P001,Clothes,3,3,799,0,Sunny,Winter,Low,No,No,2397.0,3196.0,3995.0,0,0,2022-01
2022-01-14,P001,Clothes,6,7,799,0,Cold,Winter,Medium,No,Yes,4794.0,3595.5,2397.0,0,1,2022-01
2022-01-17,P001,Clothes,8,10,799,0,Sunny,Winter,Medium,No,No,6392.0,4154.8,4794.0,0,0,2022-01
2022-01-18,P001,Clothes,9,12,799,0,Sunny,Winter,Medium,No,No,7191.0,4660.833333333333,6392.0,0,0,2022-01
2022-02-07,P001,Clothes,5,6,799,0,Cold,Winter,Medium,No,No,3995.0,4565.714285714285,7191.0,0,0,2022-02
2022-02-08,P001,Clothes,6,7,799,0,Cold,Winter,Medium,No,No,4794.0,4794.0,3995.0,0,0,2022-02
2022-02-10,P001,Clothes,4,6,799,0,Cold,Winter,Low,No,No,3196.0,4679.857142857143,4794.0,0,0,2022-02
2022-02-12,P001,Clothes,9,10,799,0,Sunny,Winter,Medium,No,Yes,7191.0,5364.714285714285,3196.0,0,1,2022-02
2022-02-22,P001,Clothes,8,10,799,5,Sunny,Winter,Medium,Yes,No,6072.4,5547.342857142858,7191.0,1,0,2022-02
2022-02-22,P001,Clothes,4,4,799,0,Sunny,Winter,Low,No,No,3196.0,5090.771428571429,6072.4,0,0,2022-02
2022-03-03,P001,Clothes,11,14,799,20,Hot,Summer,High,Yes,No,7031.200000000001,5067.942857142857,3196.0,1,0,2022-03
2022-03-09,P001,Clothes,8,9,799,0,Hot,Summer,Medium,No,No,6392.0,5410.371428571429,7031.200000000001,0,0,2022-03
2022-03-11,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,No,3995.0,5296.228571428571,6392.0,0,0,2022-03
2022-03-13,P001,Clothes,2,3,799,0,Hot,Summer,Low,No,Yes,1598.0,5067.942857142857,3995.0,0,1,2022-03
2022-03-14,P001,Clothes,5,7,799,0,Hot,Summer,Medium,No,No,3995.0,4611.371428571429,1598.0,0,0,2022-03
2022-03-15,P001,Clothes,5,5,799,0,Humid,Summer,Medium,No,No,3995.0,4314.599999999999,3995.0,0,0,2022-03
2022-03-17,P001,Clothes,1,2,799,0,Sunny,Summer,Low,No,No,799.0,3972.1714285714284,3995.0,0,0,2022-03
2022-03-19,P001,Clothes,8,9,799,0,Sunny,Summer,Medium,No,Yes,6392.0,3880.8571428571427,799.0,0,1,2022-03
2022-04-01,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,No,1598.0,3196.0,6392.0,0,0,2022-04
2022-04-01,P001,Clothes,7,9,799,25,Sunny,Summer,Medium,Yes,No,4194.75,3224.535714285714,1598.0,1,0,2022-04
2022-04-03,P001,Clothes,9,10,799,0,Sunny,Summer,Medium,No,Yes,7191.0,4023.535714285714,4194.75,0,1,2022-04
2022-04-04,P001,Clothes,8,9,799,0,Humid,Summer,Medium,No,No,6392.0,4365.964285714285,7191.0,0,0,2022-04
2022-04-06,P001,Clothes,9,11,799,15,Sunny,Summer,Medium,Yes,No,6112.349999999999,4668.442857142857,6392.0,1,0,2022-04
2022-04-06,P001,Clothes,3,3,799,0,Sunny,Summer,Low,No,No,2397.0,4896.728571428571,6112.349999999999,0,0,2022-04
2022-04-12,P001,Clothes,4,6,799,0,Humid,Summer,Low,No,No,3196.0,4440.157142857142,2397.0,0,0,2022-04
2022-04-14,P001,Clothes,4,4,799,0,Hot,Summer,Low,No,No,3196.0,4668.442857142857,3196.0,0,0,2022-04
2022-04-17,P001,Clothes,9,11,799,0,Hot,Summer,Medium,No,Yes,7191.0,5096.478571428571,3196.0,0,1,2022-04
2022-04-18,P001,Clothes,11,11,799,10,Sunny,Summer,High,Yes,No,7910.1,5199.207142857143,7191.0,1,0,2022-04
2022-04-20,P001,Clothes,6,9,799,0,Humid,Summer,Medium,No,No,4794.0,4970.921428571428,7910.1,0,0,2022-04
2022-04-21,P001,Clothes,3,3,799,0,Humid,Summer,Low,No,No,2397.0,4440.157142857142,4794.0,0,0,2022-04
2022-04-22,P001,Clothes,3,6,799,0,Sunny,Summer,Low,No,No,2397.0,4440.157142857142,2397.0,0,0,2022-04
2022-04-24,P001,Clothes,11,11,799,15,Sunny,Summer,High,Yes,Yes,7470.65,5050.821428571428,2397.0,1,1,2022-04
2022-04-28,P001,Clothes,6,6,799,0,Hot,Summer,Medium,No,No,4794.0,5279.107142857143,7470.65,0,0,2022-04
2022-05-12,P001,Clothes,13,15,799,0,Humid,Summer,High,No,No,10387.0,5735.678571428572,4794.0,0,0,2022-05
2022-05-14,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,Yes,1598.0,4833.95,10387.0,0,1,2022-05
2022-05-24,P001,Clothes,10,12,799,5,Sunny,Summer,High,Yes,No,7590.5,5233.45,1598.0,1,0,2022-05
2022-05-27,P001,Clothes,4,4,799,0,Sunny,Summer,Low,No,No,3196.0,5347.592857142858,7590.5,0,0,2022-05
2022-05-27,P001,Clothes,1,4,799,0,Sunny,Summer,Low,No,No,799.0,5119.307142857143,3196.0,0,0,2022-05
2022-05-27,P001,Clothes,8,11,799,15,Sunny,Summer,Medium,Yes,No,5433.2,4828.242857142856,799.0,1,0,2022-05
2022-05-28,P001,Clothes,5,5,799,0,Sunny,Summer,Medium,No,Yes,3995.0,4714.099999999999,5433.2,0,1,2022-05
